Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
887518	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	8252	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
931673	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	8069	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
977161	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	7459	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
1024195	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	7573	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
1068195	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	7691	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
1113682	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	7655	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
1159153	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	63466	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1	
1222632	SMP	1	632.88	374.49	918.75	365.23	19.38	19.38	4.64	19.13	19.13	4.65	630.39	368.97	638.20	368.80	913.93	360.04	921.66	360.13	998.72	167.08	998.72	167.08	0	4007	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-1.24	31.05	551.22	61.13	33.41	558.79	0.09	0.29	-0.95	0.00	0.00	0.00	-1	
1230900	SMP	1	633.47	425.93	919.12	416.58	19.22	19.22	4.63	20.03	20.03	4.69	630.58	420.26	638.48	420.13	913.89	411.73	921.57	411.81	973.70	163.30	973.70	163.30	0	1643	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-1.18	19.79	547.71	60.69	21.89	554.94	0.07	0.32	-0.95	0.00	0.00	0.00	-1	
1247529	SMP	1	634.41	383.28	918.78	374.31	19.31	19.31	4.62	20.26	20.26	4.72	631.16	377.67	638.78	377.50	913.75	369.56	921.38	369.65	911.27	164.77	911.27	164.77	0	1816	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-1.08	28.87	545.71	60.34	30.94	552.07	0.05	0.30	-0.95	0.00	0.00	0.00	-1	
1255897	SMP	1	634.00	385.72	918.51	377.17	18.63	18.63	4.58	20.36	20.36	4.75	631.33	380.27	638.96	380.12	913.66	372.53	921.30	372.60	964.53	176.00	964.53	176.00	0	1682	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-1.04	28.22	543.93	60.05	30.16	549.53	0.07	0.29	-0.95	0.00	0.00	0.00	-1	
1264288	SMP	1	634.30	388.30	918.18	380.22	19.42	19.42	4.58	20.64	20.64	4.79	631.50	382.89	639.23	382.77	913.53	375.27	921.10	375.43	954.96	189.47	954.96	189.47	0	1623	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-0.99	27.55	541.80	59.76	29.44	547.27	0.07	0.29	-0.96	0.00	0.00	0.00	-1	
