Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
282248164	SMP	1	545.15	435.85	824.75	438.48	20.23	20.23	4.82	21.23	21.23	5.17	542.07	432.92	549.23	432.87	819.36	435.60	826.43	435.73	734.41	564.52	734.41	564.52	0	1981	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.32	17.03	546.79	39.50	16.48	548.48	0.04	0.15	-0.99	-0.12	0.16	-0.98	-1	
282256551	SMP	1	545.29	435.86	824.92	438.53	20.81	20.81	4.84	22.02	22.02	5.18	542.11	432.99	549.32	432.92	819.48	435.69	826.53	435.86	733.22	564.73	733.22	564.73	0	1859	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.29	17.00	546.57	39.53	16.46	548.62	0.03	0.15	-0.99	-0.12	0.16	-0.98	-1	
282264912	SMP	1	545.48	436.06	825.07	438.87	20.17	20.17	4.83	22.12	22.12	5.20	542.15	433.12	549.39	433.05	819.53	435.85	826.60	435.97	732.21	562.36	732.21	562.36	0	2945	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.27	16.97	546.38	39.56	16.43	548.74	0.03	0.15	-0.99	-0.12	0.16	-0.98	-1	
282273287	SMP	1	545.77	436.21	825.14	438.89	20.00	20.00	4.81	22.23	22.23	5.22	542.20	433.27	549.45	433.20	819.59	436.08	826.66	436.06	728.22	562.03	728.22	562.03	0	1850	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.26	16.93	546.22	39.58	16.40	548.84	0.02	0.16	-0.99	-0.12	0.16	-0.98	-1	
282281524	SMP	1	545.69	436.46	825.02	438.95	20.34	20.34	4.81	21.55	21.55	5.20	542.21	433.52	549.40	433.46	819.61	436.29	826.69	436.17	728.23	561.95	728.23	561.95	0	1644	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.25	16.88	546.07	39.59	16.37	548.94	0.02	0.15	-0.99	-0.12	0.15	-0.98	-1	
282289914	SMP	1	545.51	436.72	824.92	439.05	20.16	20.16	4.81	22.06	22.06	5.22	542.16	433.52	549.34	433.48	819.60	436.32	826.69	436.20	729.91	559.73	729.91	559.73	0	2082	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.26	16.87	545.94	39.59	16.37	549.02	0.02	0.17	-0.99	-0.11	0.16	-0.98	-1	
282298293	SMP	1	545.25	436.65	825.13	439.00	20.19	20.19	4.80	21.43	21.43	5.20	542.08	433.55	549.27	433.53	819.54	436.36	826.65	436.27	729.34	561.30	729.34	561.30	0	1761	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.27	16.86	545.82	39.59	16.36	549.10	0.03	0.16	-0.99	-0.13	0.15	-0.98	-1	
282306643	SMP	1	545.43	436.72	825.09	439.12	20.21	20.21	4.80	21.15	21.15	5.17	542.01	433.69	549.10	433.69	819.52	436.47	826.60	436.47	727.00	561.37	727.00	561.37	0	1692	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.32	16.84	546.27	39.59	16.33	549.17	0.02	0.16	-0.99	-0.12	0.15	-0.98	-1	
282315020	SMP	1	545.07	436.77	825.05	439.33	20.06	20.06	4.79	20.46	20.46	5.12	541.88	433.74	549.02	433.74	819.45	436.55	826.50	436.62	728.51	561.32	728.51	561.32	0	4766	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.33	16.82	546.12	39.57	16.30	549.23	0.03	0.16	-0.99	-0.13	0.15	-0.98	-1	
282323287	SMP	1	544.76	436.76	824.86	439.37	19.50	19.50	4.76	20.53	20.53	5.08	541.61	433.83	548.88	433.78	819.34	436.66	826.41	436.80	730.09	562.87	730.09	562.87	0	1829	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.35	16.79	545.42	39.55	16.27	549.28	0.04	0.15	-0.99	-0.12	0.15	-0.98	-1	
282331646	SMP	1	545.21	436.92	824.63	439.64	19.83	19.83	4.75	20.95	20.95	5.06	541.48	433.96	548.65	433.99	819.15	436.95	826.33	436.94	722.71	564.21	722.71	564.21	0	1636	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.39	16.75	545.36	39.49	16.21	548.77	0.01	0.15	-0.99	-0.12	0.15	-0.98	-1	
282340009	SMP	1	544.95	436.92	824.60	439.73	20.30	20.30	4.76	21.05	21.05	5.06	541.33	433.87	548.47	433.87	819.03	436.89	826.24	436.91	720.18	562.94	720.18	562.94	0	1961	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-20.42	16.77	545.31	39.43	16.21	548.31	0.01	0.16	-0.99	-0.12	0.16	-0.98	-1	
