Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
67945701	SMP	1	607.54	414.45	880.20	418.35	18.01	18.01	4.29	18.10	18.10	4.29	604.39	407.36	611.55	407.31	874.75	411.75	881.96	411.97	757.60	104.68	757.60	104.68	0	3576	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.90	22.52	546.75	51.30	21.54	546.55	0.00	0.34	-0.94	-0.12	0.33	-0.94	-1	
67954001	SMP	1	607.12	414.61	880.59	418.39	18.18	18.18	4.29	18.14	18.14	4.30	604.34	407.55	611.53	407.50	874.75	411.84	881.95	412.10	758.87	104.94	758.87	104.94	0	1459	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.90	22.48	546.54	51.27	21.51	546.32	0.02	0.34	-0.94	-0.14	0.32	-0.94	-1	
67962915	SMP	1	607.61	414.70	880.62	418.35	17.73	17.73	4.28	18.12	18.12	4.30	604.34	407.82	611.53	407.56	874.76	411.83	881.95	412.09	748.88	105.59	748.88	105.59	0	1736	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.90	22.43	546.36	51.26	21.50	546.12	0.00	0.34	-0.94	-0.14	0.32	-0.94	-1	
67970731	SMP	1	607.75	414.88	880.29	418.73	17.90	17.90	4.27	18.13	18.13	4.30	604.33	408.07	611.53	408.00	874.79	412.07	881.93	412.27	751.31	107.17	751.31	107.17	0	1532	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.90	22.35	546.20	51.24	21.45	545.94	-0.01	0.33	-0.94	-0.12	0.33	-0.94	-1	
67979087	SMP	1	607.87	415.19	880.28	418.87	18.33	18.33	4.28	17.67	17.67	4.28	604.37	408.18	611.55	408.14	874.84	412.37	881.99	412.41	748.37	107.89	748.37	107.89	0	1449	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.89	22.32	546.05	51.24	21.40	545.78	-0.02	0.34	-0.94	-0.12	0.33	-0.94	-1	
67987328	SMP	1	607.74	415.37	880.53	419.05	18.16	18.16	4.29	17.48	17.48	4.26	604.43	408.33	611.59	408.29	874.86	412.52	882.02	412.68	748.72	108.28	748.72	108.28	0	1579	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.88	22.28	545.92	51.23	21.35	545.63	-0.01	0.34	-0.94	-0.13	0.33	-0.94	-1	
67995732	SMP	1	607.32	415.51	880.50	419.03	18.61	18.61	4.31	17.65	17.65	4.25	604.46	408.40	611.64	408.39	874.93	412.59	882.08	412.75	754.96	109.60	754.96	109.60	0	1538	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.87	22.26	545.81	51.23	21.33	545.51	0.01	0.34	-0.94	-0.12	0.32	-0.94	-1	
68004096	SMP	1	607.46	415.59	880.91	419.10	18.56	18.56	4.32	18.21	18.21	4.26	604.49	408.75	611.66	408.54	875.20	412.65	882.13	412.84	749.38	111.66	749.38	111.66	0	1495	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.86	22.20	545.71	51.36	21.35	546.51	0.01	0.34	-0.94	-0.14	0.32	-0.94	-1	
68012456	SMP	1	607.19	415.88	881.02	419.24	18.05	18.05	4.31	18.05	18.05	4.27	604.55	408.95	611.71	408.93	875.29	412.70	882.22	412.96	754.25	112.52	754.25	112.52	0	1793	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.85	22.13	545.62	51.46	21.37	547.40	0.02	0.33	-0.94	-0.14	0.32	-0.94	-1	
68020744	SMP	1	607.68	416.11	880.89	419.42	18.11	18.11	4.31	18.17	18.17	4.28	604.78	409.20	611.84	409.12	875.38	412.77	882.33	413.13	755.80	112.40	755.80	112.40	0	1561	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.81	22.11	546.10	51.56	21.37	548.20	0.01	0.34	-0.94	-0.13	0.33	-0.94	-1	
68029111	SMP	1	607.82	416.22	880.88	419.50	18.05	18.05	4.30	18.34	18.34	4.30	604.86	409.26	611.99	409.21	875.46	412.79	882.55	413.13	760.02	111.93	760.02	111.93	0	1537	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.80	22.11	546.53	51.61	21.38	548.34	0.01	0.34	-0.94	-0.12	0.33	-0.94	-1	
68037455	SMP	1	608.15	416.23	880.83	419.50	17.73	17.73	4.29	18.16	18.16	4.31	604.93	409.32	612.09	409.27	875.59	412.78	882.66	413.11	760.42	112.26	760.42	112.26	0	1568	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.77	22.09	546.35	51.64	21.38	548.47	0.00	0.34	-0.94	-0.11	0.33	-0.94	-1	
68045855	SMP	1	607.97	416.45	880.69	419.54	17.65	17.65	4.27	18.12	18.12	4.31	605.02	409.48	612.18	409.41	875.67	412.85	882.80	413.18	771.14	112.04	771.14	112.04	0	1517	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.75	22.05	546.19	51.63	21.35	548.03	0.01	0.34	-0.94	-0.10	0.33	-0.94	-1	
68054178	SMP	1	607.60	416.74	881.32	419.61	17.93	17.93	4.26	18.06	18.06	4.31	605.24	409.99	612.42	409.69	875.76	413.01	882.85	413.26	777.70	112.28	777.70	112.28	0	3401	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.70	21.96	546.04	51.66	21.33	548.19	0.04	0.33	-0.94	-0.12	0.33	-0.94	-1	
68062486	SMP	1	608.37	416.87	881.52	419.61	17.55	17.55	4.24	18.21	18.21	4.32	605.29	410.08	612.49	410.02	875.80	413.07	882.91	413.28	762.55	113.11	762.55	113.11	0	1730	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.69	21.91	545.92	51.63	21.31	547.78	0.01	0.33	-0.94	-0.13	0.33	-0.94	-1	
68070848	SMP	1	608.73	417.05	881.48	419.64	18.28	18.28	4.26	18.15	18.15	4.32	605.33	410.13	612.53	410.07	875.83	413.06	882.99	413.25	758.34	112.90	758.34	112.90	0	1588	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-6.68	21.89	545.81	51.61	21.30	547.41	-0.01	0.34	-0.94	-0.13	0.33	-0.94	-1	
